License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Billies,Nannies,Kids
2005,100,R,7,63,9,5,3,2,0,
2005,100,SUM,7,63,9,5,3,2,0,
2005,101,R,4,26,7,4,3,1,0,
2005,101,SUM,4,26,7,4,3,1,0,
2005,131,R,4,24,6,2,1,1,0,
2005,131,SUM,4,24,6,2,1,1,0,
2005,132,R,5,53,11,4,3,1,0,
2005,132,SUM,5,53,11,4,3,1,0,
2005,133,R,4,23,6,3,1,2,0,
2005,133,SUM,4,23,6,3,1,2,0,
2005,134,R,2,10,5,2,2,0,0,
2005,134,SUM,2,10,5,2,2,0,0,
2005,140,R,2,13,7,1,0,1,0,
2005,140,SUM,2,13,7,1,0,1,0,
2005,141,R,4,43,11,4,3,0,1,
2005,141,SUM,4,43,11,4,3,0,1,
2005,142,R,3,15,5,3,1,2,0,
2005,142,SUM,3,15,5,3,1,2,0,
2005,150,R,2,7,4,2,0,2,0,
2005,150,SUM,2,7,4,2,0,2,0,
2005,151,R,4,26,7,3,2,1,0,
2005,151,SUM,4,26,7,3,2,1,0,
2005,212,R,2,13,7,1,1,0,0,
2005,212,SUM,2,13,7,1,1,0,0,
2005,222,R,1,9,9,1,1,0,0,
2005,222,SUM,1,9,9,1,1,0,0,
2005,223,R,2,8,4,1,1,0,0,
2005,223,SUM,2,8,4,1,1,0,0,
2005,240,R,12,88,7,8,4,4,0,
2005,240,SUM,12,88,7,8,4,4,0,
2005,250,R,2,24,12,2,2,0,0,
2005,250,SUM,2,24,12,2,2,0,0,
2005,261,R,1,2,2,0,0,0,0,
2005,261,SUM,1,2,2,0,0,0,0,
2005,270,R,1,15,15,0,0,0,0,
2005,270,SUM,1,15,15,0,0,0,0,
2005,280,R,2,10,5,1,1,0,0,
2005,280,SUM,2,10,5,1,1,0,0,
2005,312,R,8,63,8,8,4,4,0,
2005,312,SUM,8,63,8,8,4,4,0,
2005,313,N,3,7,2,3,1,2,0,
2005,313,R,27,146,5,24,17,7,0,
2005,313,SUM,30,153,5,27,18,9,0,
2005,314,N,1,5,5,0,0,0,0,
2005,314,R,13,66,5,12,5,7,0,
2005,314,SUM,14,71,5,12,5,7,0,
2005,316,N,1,1,1,1,0,1,0,
2005,316,R,11,36,3,8,4,4,0,
2005,316,SUM,12,37,3,9,4,5,0,
2005,320,N,1,2,2,0,0,0,0,
2005,320,R,14,101,7,12,9,3,0,
2005,320,SUM,15,103,7,12,9,3,0,
2005,321,R,4,21,5,3,3,0,0,
2005,321,SUM,4,21,5,3,3,0,0,
2005,322,R,2,16,8,2,1,1,0,
2005,322,SUM,2,16,8,2,1,1,0,
2005,323,N,2,4,2,1,0,1,0,
2005,323,R,20,109,6,13,10,2,0,
2005,323,SUM,22,113,5,14,10,3,0,
2005,324,R,4,20,5,4,3,1,0,
2005,324,SUM,4,20,5,4,3,1,0,
2005,325,N,1,5,5,1,1,0,0,
2005,325,R,9,58,6,9,6,3,0,
2005,325,SUM,10,63,6,10,7,3,0,
2005,326,N,1,9,9,0,0,0,0,
2005,326,R,14,72,5,8,4,3,0,
2005,326,SUM,15,81,5,8,4,3,0,
2005,327,R,8,17,2,5,3,3,0,
2005,327,SUM,8,17,2,5,3,3,0,
2005,328,R,4,39,10,3,2,1,0,
2005,328,SUM,4,39,10,3,2,1,0,
2005,329,N,3,5,2,3,2,1,0,
2005,329,R,26,155,6,18,12,5,0,
2005,329,SUM,29,160,6,21,14,6,0,
2005,330,R,6,42,7,4,2,2,0,
2005,330,SUM,6,42,7,4,2,2,0,
2005,331,R,5,8,2,4,3,1,0,
2005,331,SUM,5,8,2,4,3,1,0,
2005,362,R,5,43,9,3,2,1,0,
2005,362,SUM,5,43,9,3,2,1,0,
2005,393,R,5,28,6,5,5,0,0,
2005,393,SUM,5,28,6,5,5,0,0,
2005,414,R,1,11,11,0,0,0,0,
2005,414,SUM,1,11,11,0,0,0,0,
2005,415,R,3,18,6,2,2,0,0,
2005,415,SUM,3,18,6,2,2,0,0,
2005,442,R,1,15,15,0,0,0,0,
2005,442,SUM,1,15,15,0,0,0,0,
2005,447,N,1,4,4,1,1,0,0,
2005,447,R,11,27,3,10,4,6,0,
2005,447,SUM,12,31,3,11,5,6,0,
2005,451,R,4,24,6,4,2,2,0,
2005,451,SUM,4,24,6,4,2,2,0,
2005,460,R,5,60,12,5,4,1,0,
2005,460,SUM,5,60,12,5,4,1,0,
2005,514,R,4,18,5,4,1,3,0,
2005,514,SUM,4,18,5,4,1,3,0,
2005,517,R,8,33,4,7,2,5,0,
2005,517,SUM,8,33,4,7,2,5,0,
2005,518,R,5,26,5,4,4,0,0,
2005,518,SUM,5,26,5,4,4,0,0,
2005,519,R,2,12,6,0,0,0,0,
2005,519,SUM,2,12,6,0,0,0,0,
2005,Reg_1,R,41,303,7,33,19,13,1,
2005,Reg_1,SUM,41,303,7,33,19,13,1,
2005,Reg_2,R,23,169,7,14,10,4,0,
2005,Reg_2,SUM,23,169,7,14,10,4,0,
2005,Reg_3,N,13,38,3,9,4,5,0,
2005,Reg_3,R,185,1040,6,143,95,49,0,
2005,Reg_3,SUM,198,1078,6,152,99,54,0,
2005,Reg_4,N,1,4,4,1,1,0,0,
2005,Reg_4,R,25,155,6,21,12,9,0,
2005,Reg_4,SUM,26,159,6,22,13,9,0,
2005,Reg_5,R,19,89,5,15,7,8,0,
2005,Reg_5,SUM,19,89,5,15,7,8,0,
2005,State,N,14,42,3,10,5,5,0,
2005,State,R,293,1756,6,226,143,83,1,
2005,State,SUM,307,1798,6,236,148,88,1,
2007,100,R,6,22,3,6,3,2,1,
2007,100,SUM,6,22,3,6,3,2,1,
2007,101,R,4,46,12,4,2,1,1,
2007,101,SUM,4,46,12,4,2,1,1,
2007,131,R,5,18,4,5,2,3,0,
2007,131,SUM,5,18,4,5,2,3,0,
2007,132,R,2,32,16,1,1,0,0,
2007,132,SUM,2,32,16,1,1,0,0,
2007,133,N,1,7,7,0,0,0,0,
2007,133,R,2,15,8,2,1,0,1,
2007,133,SUM,3,22,7,2,1,0,1,
2007,134,R,2,6,3,2,1,1,0,
2007,134,SUM,2,6,3,2,1,1,0,
2007,140,R,2,2,1,2,2,0,0,
2007,140,SUM,2,2,1,2,2,0,0,
2007,141,R,2,1,1,2,1,1,0,
2007,141,SUM,2,1,1,2,1,1,0,
2007,142,R,2,2,1,0,0,0,0,
2007,142,SUM,2,2,1,0,0,0,0,
2007,150,R,2,2,1,2,1,1,0,
2007,150,SUM,2,2,1,2,1,1,0,
2007,151,R,1,7,7,0,0,0,0,
2007,151,SUM,1,7,7,0,0,0,0,
2007,212,R,1,15,15,1,0,1,0,
2007,212,SUM,1,15,15,1,0,1,0,
2007,223,R,1,14,14,1,0,1,0,
2007,223,SUM,1,14,14,1,0,1,0,
2007,240,R,10,161,16,6,3,3,0,
2007,240,SUM,10,161,16,6,3,3,0,
2007,250,R,1,1,1,1,0,1,0,
2007,250,SUM,1,1,1,1,0,1,0,
2007,280,R,1,7,7,0,0,0,0,
2007,280,SUM,1,7,7,0,0,0,0,
2007,312,R,8,29,4,5,4,1,0,
2007,312,SUM,8,29,4,5,4,1,0,
2007,313,N,4,13,3,3,3,0,0,
2007,313,R,36,237,7,30,17,14,0,
2007,313,SUM,40,250,7,33,20,14,0,
2007,314,N,1,0,0,1,0,1,0,
2007,314,R,13,65,5,9,7,2,0,
2007,314,SUM,14,65,5,10,7,3,0,
2007,316,N,0,0,0,0,0,0,0,
2007,316,R,10,75,8,3,1,2,0,
2007,316,SUM,10,75,8,3,1,2,0,
2007,320,N,1,9,9,0,0,0,0,
2007,320,R,12,71,6,8,3,5,0,
2007,320,SUM,13,80,6,8,3,5,0,
2007,321,R,0,0,0,0,0,0,0,
2007,321,SUM,0,0,0,0,0,0,0,
2007,322,R,1,0,0,1,0,1,0,
2007,322,SUM,1,0,0,1,0,1,0,
2007,323,N,1,2,2,1,0,1,0,
2007,323,R,24,70,3,19,14,4,1,
2007,323,SUM,25,72,3,20,14,5,1,
2007,324,R,3,6,3,2,1,1,0,
2007,324,SUM,3,6,3,2,1,1,0,
2007,325,R,4,13,3,4,3,0,1,
2007,325,SUM,4,13,3,4,3,0,1,
2007,326,R,6,22,4,5,5,0,0,
2007,326,SUM,6,22,4,5,5,0,0,
2007,327,R,3,23,6,3,2,1,0,
2007,327,SUM,3,23,6,3,2,1,0,
2007,328,R,2,19,10,2,0,2,0,
2007,328,SUM,2,19,10,2,0,2,0,
2007,329,N,2,6,2,2,0,2,0,
2007,329,R,27,94,4,20,10,10,0,
2007,329,SUM,29,100,4,22,10,12,0,
2007,330,N,1,1,1,1,0,1,0,
2007,330,R,4,40,10,3,0,3,0,
2007,330,SUM,5,41,9,4,0,4,0,
2007,331,R,5,27,5,4,4,0,0,
2007,331,SUM,5,27,5,4,4,0,0,
2007,362,N,1,2,2,1,1,0,0,
2007,362,R,5,34,7,4,4,0,0,
2007,362,SUM,6,36,6,5,5,0,0,
2007,393,R,5,16,3,5,2,3,0,
2007,393,SUM,5,16,3,5,2,3,0,
2007,414,R,1,2,2,1,1,0,0,
2007,414,SUM,1,2,2,1,1,0,0,
2007,415,R,3,9,3,2,2,0,0,
2007,415,SUM,3,9,3,2,2,0,0,
2007,442,R,1,3,3,1,0,1,0,
2007,442,SUM,1,3,3,1,0,1,0,
2007,447,N,0,0,0,0,0,0,0,
2007,447,R,9,29,3,9,5,4,0,
2007,447,SUM,9,29,3,9,5,4,0,
2007,451,N,0,0,0,0,0,0,0,
2007,451,R,3,30,10,3,3,0,0,
2007,451,SUM,3,30,8,3,3,0,0,
2007,460,R,6,30,5,6,5,1,0,
2007,460,SUM,6,30,5,6,5,1,0,
2007,514,R,3,3,1,1,1,0,0,
2007,514,SUM,3,3,1,1,1,0,0,
2007,517,R,5,14,2,5,3,2,0,
2007,517,SUM,5,14,2,5,3,2,0,
2007,518,R,4,30,6,4,2,2,0,
2007,518,SUM,4,30,6,4,2,2,0,
2007,519,R,2,40,20,0,0,0,0,
2007,519,SUM,2,40,20,0,0,0,0,
2007,Reg_1,N,1,7,7,0,0,0,0,
2007,Reg_1,R,30,153,5,26,14,9,3,
2007,Reg_1,SUM,31,160,5,26,14,9,3,
2007,Reg_2,R,14,198,14,9,3,6,0,
2007,Reg_2,SUM,14,198,14,9,3,6,0,
2007,Reg_3,N,11,33,4,9,4,5,0,
2007,Reg_3,R,168,840,5,126,76,48,2,
2007,Reg_3,SUM,179,873,5,135,80,53,2,
2007,Reg_4,N,0,0,0,0,0,0,0,
2007,Reg_4,R,23,103,4,22,16,6,0,
2007,Reg_4,SUM,23,103,4,22,16,6,0,
2007,Reg_5,R,14,87,8,10,6,4,0,
2007,Reg_5,SUM,14,87,8,10,6,4,0,
2007,State,N,13,43,4,10,4,6,0,
2007,State,R,249,1387,6,194,116,73,5,
2007,State,SUM,262,1430,6,204,120,79,5,
2008,100,R,8,91,11,5,2,3,0,
2008,100,SUM,8,91,11,5,2,3,0,
2008,101,R,4,27,7,1,1,0,0,
2008,101,SUM,4,27,7,1,1,0,0,
2008,131,R,4,17,5,4,4,0,0,
2008,131,SUM,4,17,5,4,4,0,0,
2008,132,R,1,10,10,1,1,0,0,
2008,132,SUM,1,10,10,1,1,0,0,
2008,133,R,3,9,3,2,2,0,0,
2008,133,SUM,3,9,3,2,2,0,0,
2008,134,R,1,1,1,1,1,0,0,
2008,134,SUM,1,1,1,1,1,0,0,
2008,140,R,2,12,6,2,1,1,0,
2008,140,SUM,2,12,6,2,1,1,0,
2008,141,R,2,7,4,2,2,0,0,
2008,141,SUM,2,7,4,2,2,0,0,
2008,142,R,2,10,5,2,2,0,0,
2008,142,SUM,2,10,5,2,2,0,0,
2008,150,R,2,6,3,2,1,1,0,
2008,150,SUM,2,6,3,2,1,1,0,
2008,151,R,2,24,12,1,1,0,0,
2008,151,SUM,2,24,12,1,1,0,0,
2008,223,R,2,4,2,2,1,1,0,
2008,223,SUM,2,4,2,2,1,1,0,
2008,240,R,8,76,11,4,2,2,0,
2008,240,SUM,8,76,11,4,2,2,0,
2008,250,R,2,20,10,2,1,1,0,
2008,250,SUM,2,20,10,2,1,1,0,
2008,280,R,2,14,7,2,2,0,0,
2008,280,SUM,2,14,7,2,2,0,0,
2008,312,R,8,92,12,3,3,0,0,
2008,312,SUM,8,92,12,3,3,0,0,
2008,313,N,4,12,3,2,2,0,0,
2008,313,R,44,289,7,35,25,9,0,
2008,313,SUM,48,301,6,37,27,9,0,
2008,314,N,1,3,3,1,1,0,0,
2008,314,R,13,80,6,9,7,2,0,
2008,314,SUM,14,83,6,10,8,2,0,
2008,316,N,1,6,6,1,1,0,0,
2008,316,R,11,55,5,7,2,5,0,
2008,316,SUM,12,61,5,8,3,5,0,
2008,320,N,1,13,13,1,0,1,0,
2008,320,R,14,118,9,11,7,4,0,
2008,320,SUM,15,131,9,12,7,5,0,
2008,323,N,2,9,5,2,2,0,0,
2008,323,R,24,153,6,12,9,3,0,
2008,323,SUM,26,162,6,14,11,3,0,
2008,324,R,4,18,5,4,2,2,0,
2008,324,SUM,4,18,5,4,2,2,0,
2008,325,N,1,1,1,1,1,0,0,
2008,325,R,3,73,24,2,2,0,0,
2008,325,SUM,4,74,19,3,3,0,0,
2008,326,R,6,27,5,4,3,1,0,
2008,326,SUM,6,27,5,4,3,1,0,
2008,327,N,1,1,1,1,0,1,0,
2008,327,R,3,34,11,3,2,1,0,
2008,327,SUM,4,35,9,4,2,2,0,
2008,328,R,2,8,4,2,2,0,0,
2008,328,SUM,2,8,4,2,2,0,0,
2008,329,N,3,12,4,3,2,1,0,
2008,329,R,22,116,5,19,8,10,0,
2008,329,SUM,25,128,5,22,10,11,0,
2008,330,N,1,9,9,1,0,1,0,
2008,330,R,5,50,10,3,1,2,0,
2008,330,SUM,6,59,10,4,1,3,0,
2008,331,N,1,1,1,1,0,1,0,
2008,331,R,4,10,3,2,2,0,0,
2008,331,SUM,5,11,3,3,2,1,0,
2008,362,R,6,49,8,4,2,1,0,
2008,362,SUM,6,49,8,4,2,1,0,
2008,393,R,5,19,4,5,4,1,0,
2008,393,SUM,5,19,4,5,4,1,0,
2008,414,R,1,3,3,1,1,0,0,
2008,414,SUM,1,3,3,1,1,0,0,
2008,415,R,3,18,6,2,2,0,0,
2008,415,SUM,3,18,6,2,2,0,0,
2008,442,R,1,6,6,0,0,0,0,
2008,442,SUM,1,6,6,0,0,0,0,
2008,447,N,1,4,4,1,1,0,0,
2008,447,R,3,6,2,3,2,1,0,
2008,447,SUM,4,10,3,4,3,1,0,
2008,451,R,4,31,8,4,1,3,0,
2008,451,SUM,4,31,8,4,1,3,0,
2008,460,N,1,0,0,1,1,0,0,
2008,460,R,6,17,3,5,4,1,0,
2008,460,SUM,7,17,3,6,5,1,0,
2008,514,R,4,9,2,3,3,0,0,
2008,514,SUM,4,9,2,3,3,0,0,
2008,517,R,7,65,12,4,2,2,0,
2008,517,SUM,7,65,12,4,2,2,0,
2008,518,R,5,25,6,5,4,1,0,
2008,518,SUM,5,25,6,5,4,1,0,
2008,519,R,2,4,2,2,2,0,0,
2008,519,SUM,2,4,2,2,2,0,0,
2008,Reg_1,R,31,214,8,23,18,5,0,
2008,Reg_1,SUM,31,214,8,23,18,5,0,
2008,Reg_2,R,14,114,9,10,6,4,0,
2008,Reg_2,SUM,14,114,9,10,6,4,0,
2008,Reg_3,N,16,67,4,14,9,5,0,
2008,Reg_3,R,174,1191,7,125,81,41,0,
2008,Reg_3,SUM,190,1258,7,139,90,46,0,
2008,Reg_4,N,2,4,2,2,2,0,0,
2008,Reg_4,R,18,81,5,15,10,5,0,
2008,Reg_4,SUM,20,85,5,17,12,5,0,
2008,Reg_5,R,18,103,6,14,11,3,0,
2008,Reg_5,SUM,18,103,7,14,11,3,0,
2008,State,N,18,71,4,16,11,5,0,
2008,State,R,255,1702,7,188,126,59,0,
2008,State,SUM,273,1773,7,204,137,64,0,
2009,100,R,8,33,4,8,4,3,0,
2009,100,SUM,8,33,4,8,4,3,0,
2009,101,R,4,37,9,3,3,0,0,
2009,101,SUM,4,37,9,3,3,0,0,
2009,131,R,5,16,3,5,2,3,0,
2009,131,SUM,5,16,3,5,2,3,0,
2009,132,R,2,18,9,0,0,0,0,
2009,132,SUM,2,18,9,0,0,0,0,
2009,133,R,2,13,8,1,0,1,0,
2009,133,SUM,2,13,8,1,0,1,0,
2009,134,R,2,7,4,2,1,1,0,
2009,134,SUM,2,7,4,2,1,1,0,
2009,140,R,2,7,4,2,1,1,0,
2009,140,SUM,2,7,4,2,1,1,0,
2009,141,R,2,13,7,2,2,0,0,
2009,141,SUM,2,13,7,2,2,0,0,
2009,142,R,2,4,2,2,0,1,0,
2009,142,SUM,2,4,2,2,0,1,0,
2009,150,R,2,5,3,2,2,0,0,
2009,150,SUM,2,5,3,2,2,0,0,
2009,151,N,1,5,5,1,1,0,0,
2009,151,R,0,0,0,0,0,0,0,
2009,151,SUM,1,5,5,1,1,0,0,
2009,223,R,0,0,0,0,0,0,0,
2009,223,SUM,0,0,0,0,0,0,0,
2009,240,R,12,139,12,7,6,1,0,
2009,240,SUM,12,139,12,7,6,1,0,
2009,250,R,1,1,1,1,0,1,0,
2009,250,SUM,1,1,1,1,0,1,0,
2009,280,R,1,2,2,1,0,0,0,
2009,280,SUM,1,2,2,1,0,0,0,
2009,312,R,8,56,7,6,4,2,0,
2009,312,SUM,8,56,7,6,4,2,0,
2009,313,N,5,13,3,5,5,0,0,
2009,313,R,43,250,6,33,22,10,0,
2009,313,SUM,48,263,6,38,27,10,0,
2009,314,N,1,2,2,1,0,1,0,
2009,314,R,13,104,8,11,3,8,0,
2009,314,SUM,14,106,8,12,3,9,0,
2009,316,N,1,4,4,1,1,0,0,
2009,316,R,11,79,7,4,2,2,0,
2009,316,SUM,12,83,7,5,3,2,0,
2009,320,R,3,42,14,3,1,2,0,
2009,320,SUM,3,42,14,3,1,2,0,
2009,323,N,1,7,7,0,0,0,0,
2009,323,R,24,177,7,11,8,3,0,
2009,323,SUM,25,184,7,11,8,3,0,
2009,324,N,1,1,1,1,0,1,0,
2009,324,R,3,21,7,3,1,2,0,
2009,324,SUM,4,22,6,4,1,3,0,
2009,325,R,4,34,9,3,3,0,0,
2009,325,SUM,4,34,9,3,3,0,0,
2009,326,R,5,74,24,3,1,2,0,
2009,326,SUM,5,74,24,3,1,2,0,
2009,327,R,4,14,4,1,0,1,0,
2009,327,SUM,4,14,4,1,0,1,0,
2009,328,R,2,18,9,1,0,1,0,
2009,328,SUM,2,18,9,1,0,1,0,
2009,329,N,2,8,4,2,1,1,0,
2009,329,R,20,109,6,11,7,2,0,
2009,329,SUM,22,117,6,13,8,3,0,
2009,330,R,6,60,10,4,2,2,0,
2009,330,SUM,6,60,10,4,2,2,0,
2009,331,R,2,8,3,2,1,1,0,
2009,331,SUM,2,8,3,2,1,1,0,
2009,362,N,1,4,4,1,0,1,0,
2009,362,R,5,10,3,5,3,1,0,
2009,362,SUM,6,14,4,6,3,2,0,
2009,393,N,1,2,2,1,1,0,0,
2009,393,R,4,23,6,4,3,1,0,
2009,393,SUM,5,25,5,5,4,1,0,
2009,414,R,0,0,0,0,0,0,0,
2009,414,SUM,0,0,0,0,0,0,0,
2009,415,R,3,11,4,3,2,1,0,
2009,415,SUM,3,11,4,3,2,1,0,
2009,442,R,1,11,11,0,0,0,0,
2009,442,SUM,1,11,11,0,0,0,0,
2009,447,R,4,7,2,4,4,0,0,
2009,447,SUM,4,7,2,4,4,0,0,
2009,451,R,2,11,6,2,2,0,0,
2009,451,SUM,2,11,6,2,2,0,0,
2009,460,R,7,59,10,7,3,4,0,
2009,460,SUM,7,59,10,7,3,4,0,
2009,514,R,4,17,4,2,1,1,0,
2009,514,SUM,4,17,4,2,1,1,0,
2009,517,R,8,53,7,6,5,1,0,
2009,517,SUM,8,53,7,6,5,1,0,
2009,518,R,5,28,4,5,4,1,0,
2009,518,SUM,5,28,4,5,4,1,0,
2009,518,SUM,5,25,6,5,4,1,0,
2009,518,SUM,5,25,6,5,4,1,0,
2009,518,SUM,5,28,4,5,4,1,0,
2009,519,R,2,4,2,2,2,0,0,
2009,519,R,2,4,2,0,0,0,0,
2009,519,R,0,0,0,2,2,0,0,
2009,519,R,0,0,0,0,0,0,0,
2009,519,SUM,2,4,2,0,0,0,0,
2009,519,SUM,0,0,0,2,2,0,0,
2009,519,SUM,0,0,0,0,0,0,0,
2009,519,SUM,2,4,2,2,2,0,0,
2009,Reg_1,N,1,5,5,1,1,0,0,
2009,Reg_1,R,31,153,5,27,15,10,0,
2009,Reg_1,SUM,32,158,5,28,16,10,0,
2009,Reg_2,R,14,142,10,9,6,2,0,
2009,Reg_2,SUM,14,142,10,9,6,2,0,
2009,Reg_3,N,13,41,3,12,8,4,0,
2009,Reg_3,R,156,1078,7,105,61,40,0,
2009,Reg_3,SUM,169,1119,7,117,69,44,0,
2009,Reg_4,R,17,99,6,16,11,5,0,
2009,Reg_4,SUM,17,99,6,16,11,5,0,
2009,Reg_5,R,17,98,5,13,10,3,0,
2009,Reg_5,SUM,17,98,5,13,10,3,0,
2009,State,N,15,49,3,14,10,4,0,
2009,State,R,235,1570,7,170,103,60,0,
2009,State,SUM,250,1619,7,184,113,64,0,
2010,100,R,6,52,10,6,3,4,0,
2010,100,SUM,6,52,10,6,3,4,0,
2010,101,N,1,6,6,1,1,0,0,
2010,101,R,1,0,0,1,0,1,0,
2010,101,SUM,2,6,6,2,1,1,0,
2010,131,R,2,14,7,2,2,0,0,
2010,131,SUM,2,14,7,2,2,0,0,
2010,132,R,2,9,5,1,0,1,0,
2010,132,SUM,2,9,5,1,0,1,0,
2010,133,R,2,1,1,2,2,0,0,
2010,133,SUM,2,1,1,2,2,0,0,
2010,134,R,1,1,1,1,0,1,0,
2010,134,SUM,1,1,1,1,0,1,0,
2010,140,R,2,16,8,2,1,1,0,
2010,140,SUM,2,16,8,2,1,1,0,
2010,141,R,2,1,1,2,2,0,0,
2010,141,SUM,2,1,1,2,2,0,0,
2010,142,R,1,2,2,1,1,0,0,
2010,142,SUM,1,2,2,1,1,0,0,
2010,150,R,2,2,1,2,2,0,0,
2010,150,SUM,2,2,1,2,2,0,0,
2010,151,R,1,3,3,1,1,0,0,
2010,151,SUM,1,3,3,1,1,0,0,
2010,240,N,1,0,0,1,0,1,0,
2010,240,R,10,74,8,6,5,1,0,
2010,240,SUM,11,74,8,7,5,2,0,
2010,250,R,2,25,13,1,0,0,0,
2010,250,SUM,2,25,13,1,0,0,0,
2010,312,R,7,93,19,4,3,1,0,
2010,312,SUM,7,93,19,4,3,1,0,
2010,313,N,5,12,3,5,3,1,0,
2010,313,R,60,285,5,44,25,19,0,
2010,313,SUM,65,297,5,49,28,20,0,
2010,314,N,1,7,7,1,1,0,0,
2010,314,R,13,71,6,13,11,2,0,
2010,314,SUM,14,78,6,14,12,2,0,
2010,316,N,1,3,3,1,1,0,0,
2010,316,R,11,56,6,8,7,1,0,
2010,316,SUM,12,59,5,9,8,1,0,
2010,320,R,3,23,8,2,1,1,0,
2010,320,SUM,3,23,8,2,1,1,0,
2010,323,N,2,8,4,2,1,1,0,
2010,323,R,24,99,5,20,14,6,0,
2010,323,SUM,26,107,5,22,15,7,0,
2010,324,R,4,14,4,3,1,2,0,
2010,324,SUM,4,14,4,3,1,2,0,
2010,325,R,4,15,4,2,2,0,0,
2010,325,SUM,4,15,4,2,2,0,0,
2010,326,R,6,14,3,5,4,1,0,
2010,326,SUM,6,14,3,5,4,1,0,
2010,327,N,1,2,2,1,1,0,0,
2010,327,R,3,6,2,3,1,1,0,
2010,327,SUM,4,8,2,4,2,1,0,
2010,328,R,2,18,9,2,1,1,0,
2010,328,SUM,2,18,9,2,1,1,0,
2010,329,N,2,10,5,1,0,1,0,
2010,329,R,20,125,6,12,10,1,0,
2010,329,SUM,22,135,6,13,10,2,0,
2010,330,R,6,45,8,2,1,1,0,
2010,330,SUM,6,45,8,2,1,1,0,
2010,331,R,3,15,5,2,1,1,0,
2010,331,SUM,3,15,5,2,1,1,0,
2010,362,N,0,0,0,0,0,0,0,
2010,362,R,5,13,3,5,2,3,0,
2010,362,SUM,5,13,3,5,2,3,0,
2010,393,R,5,24,6,5,4,1,0,
2010,393,SUM,5,24,6,5,4,1,0,
2010,414,R,1,0,0,1,1,0,0,
2010,414,SUM,1,0,0,1,1,0,0,
2010,415,R,3,11,4,3,2,1,0,
2010,415,SUM,3,11,4,3,2,1,0,
2010,442,R,1,7,7,0,0,0,0,
2010,442,SUM,1,7,7,0,0,0,0,
2010,447,R,4,4,1,4,3,1,0,
2010,447,SUM,4,4,1,4,3,1,0,
2010,451,R,2,0,0,2,1,1,0,
2010,451,SUM,2,0,0,2,1,1,0,
2010,460,R,4,1,1,4,4,0,0,
2010,460,SUM,4,1,1,4,4,0,0,
2010,514,R,3,12,6,3,2,1,0,
2010,514,SUM,3,12,6,3,2,1,0,
2010,517,R,8,30,6,6,4,2,0,
2010,517,SUM,8,30,6,6,4,2,0,
2010,518,R,3,9,3,3,2,1,0,
2010,518,SUM,3,9,3,3,2,1,0,
2010,519,R,1,6,6,1,0,1,0,
2010,519,SUM,1,6,6,1,0,1,0,
2010,Reg_1,N,1,6,6,1,1,0,0,
2010,Reg_1,R,22,101,6,21,14,8,0,
2010,Reg_1,SUM,23,107,6,22,15,8,0,
2010,Reg_2,N,1,0,0,1,0,1,0,
2010,Reg_2,R,12,99,10,7,5,1,0,
2010,Reg_2,SUM,13,99,9,8,5,2,0,
2010,Reg_3,N,12,42,4,11,7,3,0,
2010,Reg_3,R,175,916,6,132,88,41,0,
2010,Reg_3,SUM,187,958,6,143,95,44,0,
2010,Reg_4,R,15,23,3,14,11,3,0,
2010,Reg_4,SUM,15,23,3,14,11,3,0,
2010,Reg_5,R,15,57,5,13,8,5,0,
2010,Reg_5,SUM,15,57,5,13,8,5,0,
2010,State,N,15,53,4,13,8,4,0,
2010,State,R,239,1196,6,187,126,58,0,
2010,State,SUM,254,1249,6,200,134,62,0,
2011,100,R,6,63,11,5,5,0,0,
2011,100,SUM,6,63,11,5,5,0,0,
2011,101,R,2,19,10,1,1,0,0,
2011,101,SUM,2,19,10,1,1,0,0,
2011,131,N,1,8,8,0,0,0,0,
2011,131,R,1,7,7,0,0,0,0,
2011,131,SUM,2,15,8,0,0,0,0,
2011,132,R,2,14,7,1,1,0,0,
2011,132,SUM,2,14,7,1,1,0,0,
2011,133,R,2,18,9,2,2,0,0,
2011,133,SUM,2,18,9,2,2,0,0,
2011,134,R,1,1,1,0,0,0,0,
2011,134,SUM,1,1,1,0,0,0,0,
2011,140,R,2,14,7,1,1,0,0,
2011,140,SUM,2,14,7,1,1,0,0,
2011,141,R,1,20,20,1,0,0,0,
2011,141,SUM,1,20,20,1,0,0,0,
2011,142,R,1,1,1,1,0,1,0,
2011,142,SUM,1,1,1,1,0,1,0,
2011,150,R,2,10,5,1,0,1,0,
2011,150,SUM,2,10,5,1,0,1,0,
2011,151,R,1,4,4,0,0,0,0,
2011,151,SUM,1,4,4,0,0,0,0,
2011,240,N,1,11,11,1,1,0,0,
2011,240,R,7,115,16,2,2,0,0,
2011,240,SUM,8,126,16,3,3,0,0,
2011,250,R,2,9,5,2,1,0,0,
2011,250,SUM,2,9,5,2,1,0,0,
2011,312,R,8,52,7,4,1,2,0,
2011,312,SUM,8,52,7,4,1,2,0,
2011,313,N,6,19,3,4,3,1,0,
2011,313,R,63,314,5,47,30,16,0,
2011,313,SUM,69,333,5,51,33,17,0,
2011,314,N,1,5,5,1,1,0,0,
2011,314,R,13,84,7,9,8,1,0,
2011,314,SUM,14,89,6,10,9,1,0,
2011,316,N,1,3,3,1,1,0,0,
2011,316,R,11,58,5,4,4,0,0,
